GPPractice/Area;Year;Age;Sex;AreaType;PracticeCode;PatientCount_Asthma;PatientCount_Atrial Fibrillation;PatientCount_Cancer;PatientCount_Chronic Kidney Disease (CKD);PatientCount_Chronic Obstructive Pulmonary Disease (COPD);PatientCount_Coronary Heart Disease (CHD);PatientCount_Dementia;PatientCount_Depression;PatientCount_Diabetes;PatientCount_Eating Disorder;PatientCount_Epilepsy;PatientCount_Heart Failure;PatientCount_Hypertension;PatientCount_Mental Health;PatientCount_Osteoporosis;PatientCount_Palliative Care;PatientCount_Peripheral Arterial Disease (PAD);PatientCount_Rheumatoid Arthritis;PatientCount_Stroke and TIA;Change_Asthma;Change_Atrial Fibrillation;Change_Cancer;Change_Chronic Kidney Disease (CKD);Change_Chronic Obstructive Pulmonary Disease (COPD);Change_Coronary Heart Disease (CHD);Change_Dementia;Change_Depression;Change_Diabetes;Change_Eating Disorder;Change_Epilepsy;Change_Heart Failure;Change_Hypertension;Change_Mental Health;Change_Osteoporosis;Change_Palliative Care;Change_Peripheral Arterial Disease (PAD);Change_Rheumatoid Arthritis;Change_Stroke and TIA;Rate_Asthma;Rate_Atrial Fibrillation;Rate_Cancer;Rate_Chronic Kidney Disease (CKD);Rate_Chronic Obstructive Pulmonary Disease (COPD);Rate_Coronary Heart Disease (CHD);Rate_Dementia;Rate_Depression;Rate_Diabetes;Rate_Eating Disorder;Rate_Epilepsy;Rate_Heart Failure;Rate_Hypertension;Rate_Mental Health;Rate_Osteoporosis;Rate_Palliative Care;Rate_Peripheral Arterial Disease (PAD);Rate_Rheumatoid Arthritis;Rate_Stroke and TIA
Aberdeen City Central;2018;00-04;M;Cluster;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aberdeen City Central;2018;05-09;M;Cluster;;29;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.5;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0
Aberdeen City Central;2018;10-14;M;Cluster;;35;0;0;0;0;0;0;0;5;0;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;6.3;0;0;0;0;0;0;0;0.9;0;2;0;0;0;0;0;0;0;0
Aberdeen City Central;2018;15-19;M;Cluster;;35;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;7.4;0;0;0;0;0;0;1.1;0;0;1.1;0;0;0;0;0;0;0;0
Aberdeen City Central;2018;20-24;M;Cluster;;56;0;5;0;0;0;0;34;5;0;5;0;5;10;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;6.5;0;0.6;0;0;0;0;4;0.6;0;0.6;0;0.6;1.2;0;0;0;0;0
Aberdeen City Central;2018;25-29;M;Cluster;;55;0;5;0;0;0;0;54;10;0;17;0;0;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.5;0;0.4;0;0;0;0;4.4;0.8;0;1.4;0;0;0.4;0;0;0;0;0
Aberdeen City Central;2018;30-34;M;Cluster;;63;0;5;5;0;0;0;62;17;0;25;0;24;23;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;4.9;0;0.4;0.4;0;0;0;4.8;1.3;0;2;0;1.9;1.8;0;0;0;0;0
Aberdeen City Central;2018;35-39;M;Cluster;;66;0;10;0;0;5;0;66;31;5;14;0;24;13;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;5.9;0;0.9;0;0;0.4;0;5.9;2.8;0.4;1.2;0;2.1;1.2;0;0;0;0;0
Aberdeen City Central;2018;40-44;M;Cluster;;61;0;5;0;10;10;0;60;35;0;25;0;36;18;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;6.9;0;0.6;0;1.1;1.1;0;6.8;4;0;2.8;0;4.1;2.1;0;0;0;0;0.6
Aberdeen City Central;2018;45-49;M;Cluster;;69;5;14;5;13;22;0;100;50;0;33;5;103;19;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;7.4;0.5;1.5;0.5;1.4;2.3;0;10.7;5.3;0;3.5;0.5;11;2;0;0;0;0;1.1
