GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Change_Asthma,Change_Atrial Fibrillation,Change_Cancer,Change_Chronic Kidney Disease (CKD),Change_Chronic Obstructive Pulmonary Disease (COPD),Change_Coronary Heart Disease (CHD),Change_Dementia,Change_Depression,Change_Diabetes,Change_Eating Disorder,Change_Epilepsy,Change_Heart Failure,Change_Hypertension,Change_Mental Health,Change_Osteoporosis,Change_Palliative Care,Change_Peripheral Arterial Disease (PAD),Change_Rheumatoid Arthritis,Change_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
Aberdeen City Central,2018,00-04,All,Cluster,,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
Aberdeen City Central,2018,05-09,All,Cluster,,58,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4.3,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0
Aberdeen City Central,2018,10-14,All,Cluster,,56,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5.3,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0
Aberdeen City Central,2018,15-19,All,Cluster,,58,0,0,0,0,0,0,15,5,13,10,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5.7,0,0,0,0,0,0,1.5,0.5,1.3,1,0,0,0.5,0,0,0,0,0
Aberdeen City Central,2018,20-24,All,Cluster,,116,0,5,0,0,0,0,98,10,11,18,0,5,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6.2,0,0.3,0,0,0,0,5.2,0.5,0.6,1,0,0.3,0.5,0,0,0,0,0
Aberdeen City Central,2018,25-29,All,Cluster,,143,0,10,0,0,0,0,189,20,19,40,0,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5.7,0,0.4,0,0,0,0,7.5,0.8,0.8,1.6,0,0.4,0.4,0,0,0,0,0
Aberdeen City Central,2018,30-34,All,Cluster,,130,0,5,5,0,0,0,193,33,21,37,0,34,33,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,5.4,0,0.2,0.2,0,0,0,8,1.4,0.9,1.5,0,1.4,1.4,0,0,0,0.2,0.2
Aberdeen City Central,2018,35-39,All,Cluster,,136,0,15,0,0,5,0,180,57,20,24,0,56,27,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6.8,0,0.8,0,0,0.3,0,9.1,2.9,1,1.2,0,2.8,1.4,0,0,0,0,0
Aberdeen City Central,2018,40-44,All,Cluster,,122,5,17,10,10,10,0,181,50,5,36,0,73,28,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,7.7,0.3,1.1,0.6,0.6,0.6,0,11.4,3.2,0.3,2.3,0,4.6,1.8,0,0,0,0.3,0.3
Aberdeen City Central,2018,45-49,All,Cluster,,159,10,35,17,25,32,0,225,90,13,45,5,187,31,0,5,0,10,15,,,,,,,,,,,,,,,,,,,,9.4,0.6,2.1,1,1.5,1.9,0,13.2,5.3,0.8,2.6,0.3,11,1.8,0,0.3,0,0.6,0.9
